feature,importance
AVERAGE_TIME_DIFF,0.36756961988525094
AVERAGE_FREE_FLOW_SPEED,0.0680295164754055
hour,0.06478712315268007
speed_time_ratio,0.06365529318353827
hour_cos,0.05818351912054933
hour_sin,0.040100888177029115
luminosity_encoded,0.03646062516106184
time_rush_morning,0.030493831030227812
AVERAGE_FREE_FLOW_TIME,0.02916809307415313
AVERAGE_TEMPERATURE,0.0216390095317845
temp_humidity_interaction,0.020603909573707235
dayofweek_sin,0.018031153103019896
time_night,0.017359787771116107
dayofweek,0.01667112479675607
AVERAGE_ATMOSP_PRESSURE,0.015623959263405431
hour_weekend_interaction,0.015531750334393022
AVERAGE_HUMIDITY,0.014218654391700844
month,0.013159491250970426
month_cos,0.012604045921257632
AVERAGE_WIND_SPEED,0.012236692321849717
month_sin,0.011112168352647018
time_regular,0.01078348234116918
time_rush_evening,0.010269397997312683
is_weekend,0.008531831219482254
dayofweek_cos,0.0076607177700379735
time_lunch_time,0.0075146074370144676
weather_score,0.0039967422464303485
cloudiness_encoded,0.002665688793450192
rain_encoded,0.0013372763225990036
